CLIENT_NAME,SELLING_HOURLY_PRICE,MIN_QUALITY,WILDCARD
FusionWorks Industrial Solutions,25,0,Deadline
Future Fabrications,25,7.5,Price
FutureBuild,25,7,Deadline
FutureFlow,25,0,Deadline
FutureForge,35,7.5,Quality
FutureForge Industries,20,8,Deadline
FutureIndustries,25,7.5,Quality
FuturePeak,20,8,Price
FuturePharma Inc,25,7,Quality
FutureScape,20,0,Price
FutureScope Engineering,25,7,Deadline
FutureSkills Academy,35,7,Deadline
FutureStep,25,8,Price
FutureTech,25,7.5,Quality
FutureTech Solutions,25,7,Quality
FutureTechInd,25,7,Price
FutureTechSys,25,7,Deadline
FutureWorks,20,0,Price
FutureWorks Engineering,30,7,Price
FutureX Enterprises,25,7,Deadline
Futurize,25,7.5,Deadline
Fuzionix,25,0,Price
GAF,25,7,Quality
Galactic Empire Bureau of Investigation,40,7.5,Price
GameGo,35,7,Quality
Gamma Glassworks,35,7.5,Deadline
GardenHues,25,7,Deadline
GastroMed Innovations,30,7,Price
Gateway Industrial Properties,20,8,Deadline
Gateway Industries,25,0,Deadline
GealSoft,20,7.5,Price
Gear & Grillhouse Restaurants Co.,20,7,Price
GearGenius,20,8,Quality
Gearhead Innovations,25,7,Price
GearMaster,20,7.5,Quality
GearUp,25,8,Quality
GearWorks,45,7,Quality
Geminus Machines,20,0,Price
Gemstone Productions,20,8,Deadline
GeneralNothing,25,7.5,Deadline
GeneWorks,20,7,Deadline
GenoMachinex,25,7,Deadline
GenoMed,25,7,Quality
GenomicSolutions,25,7,Price
GenomicWorks,30,8,Quality
Genus Industrial,25,7,Quality
GetalifeCo,30,0,Deadline
GigaPulse Technologies,25,7,Price
GlamorCorp,25,0,Deadline
GlassGuard,35,7,Deadline
Global Gear,30,0,Price
Global Green Packaging,30,7.5,Deadline
Global Logistics,20,7,Deadline
Global Logistics Solutions,20,7.5,Quality
Global Trading Solutions,25,7,Price
GlobalCom Connect,30,0,Deadline
GlobalTech Solutions,25,7.5,Deadline
GlobeGuardian,35,7,Quality
GlobeLink,20,7,Deadline
GodFriend,25,8,Price
Golden Nugget Gaming,20,7.5,Deadline
GoldenTrack Industries,25,7,Quality
Goldstinc,30,0,Price
Gondor Council of the Wise,40,8,Deadline
Gourmet Goodness,30,8,Price
GrainsGalore,20,8,Quality
Grandeur Co,25,0,Price
Grandeur Industrial,30,7.5,Price
GrandHarvest,25,7,Price
GraphicProdigy Industries,20,7,Quality
GraphiPrint Solutions,20,8,Deadline
GraphixPro Printers,20,7.5,Price
Gravitas Engineering,25,0,Deadline
Green Facilities Group,25,7.5,Quality
Greener Homes,25,0,Deadline
GreenForce Innovations,20,7.5,Quality
GreenGlow,40,7.5,Deadline
GreenGuru,25,7,Price
Greenleaf Industries,20,0,Deadline
GreenLeaf Services,25,0,Deadline
GreenNet,25,7,Quality
GreenPak Industries,25,0,Price
GreenPath,50,8,Quality
GreenPower Engineering,25,8,Deadline
GreenPower Solutions,25,7,Price
GreenPrint,35,7.5,Price
GreenTech Industries,20,8,Price
GreenWave,25,7,Price
GreenWave Industrial Technologies,30,7.5,Price
GreenWorks,25,0,Deadline
GridMach,20,0,Price
Grill & Gasket Inc.,40,0,Deadline
Gringotts Wizarding Bank,30,8,Quality
GrowGenius,45,7,Quality
Hambalah,20,8,Quality
Hammer & Hearth Diners Co.,20,0,Price
Hands-On Industries,20,0,Deadline
Hands-On Learning,25,8,Deadline
HappyCampers,25,8,Deadline
HappyHappenings,20,7,Deadline
HappyHive,20,7.5,Price
Harbor Hill Investments,30,7,Deadline
Harbor House,20,7,Price
Harborfront Technologies,25,7,Price
HarborSide Industries & Resorts,20,7,Quality
HarborWalk Industries & Resorts,25,7.5,Price
HarborX,25,0,Price
Harmonious,25,8,Price
Harvest Moon,45,7,Quality
HarvestFields,20,7.5,Quality
HarvestHive,20,8,Deadline
HarvestMax Chemicals,20,7,Deadline
Havenly Homes,25,7.5,Quality
Healco,25,7,Quality
HealthAid,20,7,Deadline
HealthAxis,20,0,Deadline
HealthBridge,25,7,Price
HealthBridge Dynamics,20,7,Price
HealthBridge Innovations,25,7.5,Price
HealthBridge Solutions,25,7.5,Deadline
HealthCore,25,7.5,Quality
HealthCore Dynamics,30,0,Price
HealthCore Innovations,25,7,Quality
HealthCore Solutions,25,7.5,Deadline
HealthEdge,25,7,Deadline
HealthEquip,90,8,Quality
HealthEquip Dynamics,25,7.5,Quality
HealthEquip Innovations,25,0,Price
HealthEquip Solutions,25,7,Deadline
HealthEquip Technologies,20,0,Deadline
HealthEssential Inc.,20,7,Quality
HealthEssential Innovations,25,7,Price
HealthFlex,25,0,Price
HealthForge,25,7,Deadline
HealthGenius Innovations,25,7,Quality
HealthGuard Inc.,25,7,Quality
HealthGuard Solutions,25,7,Quality
HealthGuardian Technologies,20,0,Deadline
HealthGuru,20,7,Deadline
Healthify,20,7,Quality
HealthLab,20,7,Price
HealthLift Tech,20,7,Deadline
HealthLink,20,7.5,Deadline
HealthLink Equipments,20,0,Price
HealthLogic,25,7.5,Deadline
HealthMaster Inc.,25,7,Quality
HealthMate,40,8,Quality
HealthMaxx Solutions,25,8,Deadline
HealthMed Innovations,20,7,Quality
HealthMind,30,7.5,Quality
HealthNet,20,7,Quality
HealthNet Distributors,20,0,Price
HealthNutrition Co,20,0,Deadline
HealthPlus,25,0,Deadline
HealthPro,25,7.5,Price
HealthPro Solutions,25,0,Deadline
HealthPulse,25,7,Deadline
HealthQuest,20,8,Quality
HealthScan Innovations,20,0,Deadline
HealthScope,20,7.5,Quality
HealthShapers,25,7,Deadline
HealthShield Corp.,25,7,Quality
HealthSolutions Corp.,25,0,Deadline
HealthSpace,25,7,Quality
Healthsphere,50,0,Deadline
HealthStar,25,7,Price
HealthTech Dynamics,20,7.5,Price
HealthTech Innovations,25,7,Quality
HealthTrek,25,7,Quality
HealthVantage Corp.,25,8,Quality
HealthVantage Innovations,20,7,Deadline
HealthVibe,20,7,Quality
HealthVista Corp.,30,8,Price
HealthWave,20,7,Price
HealthWaves,20,7,Quality
HealthWhoCare,25,7.5,Deadline
HealthWise Industries,20,0,Price
HealthWorks,20,7,Deadline
Healthy Spaces,25,7,Price
HealthyLife,25,7,Deadline
Healty Wealty Company,20,0,Price
HeavyDuty Workwear,20,7,Quality
Heavyguard,20,7.5,Quality
HeavyHaul,25,7.5,Deadline
HeavyTrux,25,7,Deadline
Helix Holdings,25,0,Price
Helix Industrial Automation,20,0,Deadline
Helix Industries,25,7,Quality
Helix Motors,25,7.5,Price
HemoLab Tech,20,7.5,Deadline
Heritage Home Goods,20,7.5,Price
HeritageBank,20,8,Price
High Rollers Casino Co.,25,0,Price
HighPress,30,8,Price
Hightech Solutions,20,7.5,Deadline
HiMedTech,25,0,Price
Hitlermunger,20,7,Deadline
Hogsmeade Realty Corporation,20,7.5,Price
Hogwarts School of Witchcraft and Wizardry,20,0,Price
Holonet,25,7,Quality
HomeClima,25,8,Quality
HomelyStay,25,7,Deadline
HomeShield Builders,25,7.5,Quality
Homestead Construction,25,8,Deadline
HomeSweetAl. ,20,8,Deadline
Horizon Engineering,25,7.5,Deadline
Horizon Hardware,25,0,Deadline
Horizon Hotels & Infrastructure,25,7,Quality
Horizon Industrial,25,0,Deadline
Horizon Industrial Properties,20,0,Deadline
Horizon Industries,25,7,Price
Horizon Investment & Banking,25,7,Quality
Horizon Manufacturing,25,7,Price
Horizon Solutions,25,8,Deadline
Horizon Systems,35,0,Price
Horizon Trust Bank,25,7,Price
HorizonTech,30,7,Price
HorizonTrust Industries,25,7.5,Quality
Housing,25,7.5,Price
HR Dynamics,25,7,Price
Human Builders,30,0,Deadline
Hydraulix,25,7,Quality
HydroGen Corporation,25,7,Quality
Hydromation,20,7,Price
Hydronova,30,7.5,Deadline
HydroPools,30,0,Deadline
HydroWorks,25,7,Deadline
Hymax Solutions,35,8,Deadline
Hyperion Corporation,20,7.5,Quality
Hyperion Industrial Technologies,25,0,Price
Hyperion Industries,25,7,Quality
Hyperion Robotics,25,7,Deadline
Hyperion Tech,35,7,Price
HyperStream,25,7.5,Deadline
HyperWave,20,0,Price
Iconic Machineries,25,0,Deadline
IdealWorks,30,7,Quality
IgniteTech,20,8,Price
Imaginarium Works,25,7,Price
Impact Solutions,20,7,Price
Indauto,35,7,Quality
IndigoWorks,25,7.5,Price
InduDrive,45,7,Price
InduLearn,25,7,Deadline
Indumotive,25,7,Deadline
InduNet Solutions,25,7,Deadline
IndusBank,25,7,Price
IndusBank Securities Group,25,7.5,Quality
IndusCapital,25,7.5,Quality
IndusComm,20,7.5,Deadline
IndusDiver,20,8,Price
IndusFarm,40,8,Quality
Indusgear,30,8,Price
IndusHR Employment Solutions,20,0,Deadline
IndusInno,35,7.5,Deadline
IndusLab,65,7,Price
IndusLegal Solutions,20,0,Deadline
IndusMarkets,20,0,Price
Indusonics,35,0,Deadline
IndusPartners,20,0,Price
IndusPro,25,0,Price
IndusPro ServicesCo,25,7.5,Quality
IndusSoft,20,8,Deadline
IndusTech,25,7,Price
IndusTechMed,20,7.5,Deadline
IndustraCare,20,8,Quality
IndustraFarm,25,7.5,Quality
IndustraMed,20,7,Quality
IndustraPak,25,0,Price
Industrial AirLift,20,7.5,Price
Industrial BioPharm,25,0,Price
Industrial Bliss,25,0,Deadline
Industrial Builders,25,0,Deadline
Industrial Conglomerates,40,0,Price
Industrial Connect,25,7,Price
Industrial Distribution Co.,25,8,Price
Industrial Distributors Inc.,25,7.5,Deadline
Industrial Dynamics,20,7,Deadline
Industrial Equipment Co.,30,7.5,Price
Industrial Finance Corp,25,7.5,Price
Industrial Innovate,20,7,Quality
Industrial Innovations,20,7,Quality
Industrial Innovators,40,7,Deadline
Industrial Intelligence,25,7.5,Quality
Industrial Jetstream,20,7,Price
Industrial Movers Inc.Industrials & Moving Services,40,0,Deadline
Industrial Steel Inc.,30,0,Deadline
IndustrialCap,30,8,Price
IndustrialEdX,20,0,Deadline
IndustrialElite,25,7,Price
IndustrialFirst National Bank,25,7.5,Deadline
IndustrialGen,25,0,Deadline
IndustrialGenius,30,7,Deadline
IndustrialGenius Consulting,20,7.5,Price
IndustrialHorizon,20,0,Deadline
IndustrialInsight,25,7,Deadline
IndustrialIQ,25,7.5,Price
IndustrialLink,25,7,Price
IndustrialLogic,20,8,Price
IndustrialMed,25,0,Price
IndustrialMed Supply,20,7,Price
IndustrialMedics,25,7.5,Deadline
IndustrialNet,25,7,Deadline
IndustrialNovation,25,8,Quality
IndustrialPro,25,7.5,Price
IndustrialPulse,25,7,Deadline
IndustrialSoft,25,7.5,Price
Industrialtech,25,7,Quality
IndustrialU,25,8,Deadline
IndustrialVision,25,0,Deadline
IndustrialWave,25,7,Price
IndustrialWorks,25,8,Price
IndustrialWorx,25,7.5,Price
IndustriaTech,20,8,Price
IndustriaTotal,20,8,Price
IndustriBank,35,7,Quality
Industricom,25,7,Price
IndustriConsulting Solutions,20,7,Deadline
IndustriEx,25,7.5,Quality
IndustriFin,25,7.5,Quality
Industrify,40,7,Quality
IndustriNation,25,7,Deadline
Industrisecure,25,7,Price
Industrisoft Consulting,30,7,Deadline
Industritronix,20,7,Price
IndustriWave,20,0,Price
IndustroEnergy,20,8,Quality
Industronic Dynamics,20,0,Deadline
Industronic Machines,25,8,Deadline
Industronics,25,8,Deadline
Industronix,25,7,Price
IndustryEd,25,7.5,Quality
IndustryIQ,25,0,Price
IndustryPath,25,0,Price
IndusVision,20,7,Deadline
IndusXpert,20,8,Quality
InduTech,35,0,Deadline
InduTrac,25,7,Quality
InduTrain,25,7.5,Deadline
Induvest,20,7.5,Quality
Infinite Innovations,25,0,Deadline
Infinite Solutions Inc.,25,7,Quality
Infinity Dynamics,25,7,Quality
Infinity Industrial Products,25,0,Price
Infinity Motors,25,7,Deadline
Infinium Works,25,0,Deadline
InfoCom,20,7.5,Deadline
InfoIndustries,25,0,Deadline
InfoLink Communications,25,0,Price
InfoStream,20,7,Price
Infotech,25,8,Deadline
Infracon,25,7.5,Quality
InfraForge,20,7,Deadline
InfraGenius,25,7,Deadline
InfraGeniusx,25,7,Price
InfraLink,20,7.5,Quality
InfraLogic,40,8,Quality
InfraLogix,25,0,Price
InfraMation,25,7,Price
InfraMorph,20,7,Price
InfraNetx,25,7,Price
InfraNext,20,7.5,Deadline
InfraPro,25,0,Price
InfraQ,25,0,Price
InfraScope,20,0,Price
InfraScopePro,20,0,Price
InfraSolve,30,0,Deadline
InfraSpect,25,7,Quality
InfraTech,25,7,Quality
InfraTechPro,25,0,Deadline
InfraTechx,40,7.5,Quality
Infusion Dynamics,20,7,Deadline
IngeniaLab,30,8,Price
IngeniaNet,25,0,Price
IngenieríaWeb,25,0,Deadline
InkMaster,20,7.5,Deadline
Inkwell Printing Solutions,20,7.5,Quality
InnoIndustries,45,0,Price
InnoMed,25,7.5,Price
InnoMold Engineering,30,7.5,Deadline
InnoPlan,20,7,Deadline
InnoSoft,20,7.5,Deadline
InnoSysTech,25,8,Quality
InnoTech,25,7,Price
InnoTech Solutions,25,8,Deadline
InnoTechInd,25,7,Deadline
InnovaciónNet,20,7.5,Price
InnovaciónSoft,20,7.5,Price
Innovar360,30,8,Quality
Innovate Industrial,30,7.5,Quality
Innovate Industries,25,7,Price
Innovate Solutions,25,7,Price
Innovatech,20,7.5,Deadline
Innovatech Manufacturing,20,0,Deadline
Innovatek,25,7,Deadline
InnovateQ,20,7,Quality
InnovateWorks,25,7.5,Deadline
InnovateWorks Consulting,20,7.5,Deadline
InnovateX,35,7.5,Quality
Innovatia Solutions,25,7.5,Price
Innovex,25,7.5,Quality
InnoVision Consulting & Research,25,8,Price
InnoVisionx,30,7,Quality
InnoVitality,35,7,Quality
InnoWorks,25,7,Deadline
Inova Industrial,25,0,Price
InovaIndustria,25,7.5,Deadline
Inovatek,25,7,Quality
Insight Innovations,30,0,Price
InsightBridge,30,8,Price
InsightBridge Consulting,40,7.5,Quality
InsightTech,20,8,Deadline
Inspectron,35,7,Quality
InspectWorks,20,0,Deadline
InspectX,25,0,Deadline
InspireWorks,25,7,Price
Integracon,45,7,Deadline
Integrated Support Technologies,25,7.5,Deadline
IntellaTech,25,7,Deadline
Intellia Motors,20,7,Deadline
Intelliconnect,25,7.5,Deadline
Intellifab,20,0,Price
Intellimation Engineering,25,7,Price
Intellindustries,30,7.5,Price
Intelliplast,20,7,Deadline
Intellisense,20,0,Price
Intellisys,25,7,Price
Intellisystems,20,0,Deadline
Intellitalk,30,7,Price
Intellitrol,45,0,Deadline
Intellitronix,30,7.5,Deadline
Intellitronix Solutions,30,7.5,Quality
InterActive Concepts,25,7.5,Price
IntraIndustries,25,7.5,Quality
IntraSoft,25,8,Deadline
IntuitiveIndustries,20,7,Quality
IntuitiveSys,25,0,Deadline
Invasion 1812,20,8,Price
Inventa Machines,25,7,Deadline
InvenTek,25,8,Price
Invicta Engineering,20,0,Deadline
Ionixx Engineering,20,0,Deadline
Iridium Machines,25,0,Price
Iron Bank of Braavos,40,8,Price
Iron Gate Capital,25,8,Price
IronBeast,25,7,Quality
IronBridge,25,7.5,Quality
IronBridge Solutions,30,8,Deadline
Ironclad Industrial,45,8,Quality
Ironclad Industries,25,7,Deadline
Ironclad Manufacturing,20,7,Deadline
IronCore Industries,20,7,Deadline
IronCore Manufacturing,20,0,Price
IronCraft Solutions,20,7,Price
IronForge,30,7,Price
IronHarvest,20,0,Deadline
IronMach,25,7,Deadline
IronMind,25,7,Price
IronNation,20,7.5,Quality
IronPulse,40,7.5,Price
Ironshield,20,0,Price
IronSmith,25,0,Deadline
IronTech,20,7,Quality
IronWorks,25,7,Quality
IronWorx,20,8,Deadline
IT Dynamics,25,7.5,Deadline
IT Minds Consulting,25,7,Deadline
IT360,25,7,Quality
ITech,20,7.5,Deadline
ITLab,20,0,Deadline
ITone,25,7,Price
ITPro,20,0,Price
Jedi Council,25,0,Price
Jedi Temple Academy,40,0,Price
Jetstream Drilling,30,7.5,Quality
JobReady Industries,20,0,Deadline
JobsRUs,25,0,Deadline
JollyFields,20,7.5,Quality
Jolt Construction,20,0,Deadline
Journeyscape,25,7,Deadline
Joyful,40,7.5,Quality
JoyfulBuilders,20,0,Price
Kalampur,25,0,Price
Keystone Distributors,20,7,Quality
Keystone Securities,20,8,Deadline
Kinematica,45,7.5,Price
Kinetic Controls,25,8,Quality
Kinetic Engineering,20,8,Deadline
Kinetic Solutions,20,8,Price
Kinetic Systems,35,7.5,Quality
Kinetic Utilities,25,7,Deadline
KineticWorks,20,7,Deadline
Kinetix Industrial,25,7.5,Quality
Kinetix Industries,30,8,Price
King's Landing Small Council,45,7,Deadline
Konichiwa,20,0,Price
LabTech Innovations,20,7.5,Price
LakeShore,30,7,Price
Landmark Industries,45,0,Price
Lathe & Lunchroom Inc.,25,8,Quality
LearningSphere,30,0,Price
Legacy Asset Bank,30,8,Deadline
Legacy Industrial and Development Group,25,7.5,Price
Leisureland,35,7,Deadline
Leman Bros,25,7,Quality
Liathium,25,7.5,Quality
Liberty Holdings,45,7,Deadline
Liberty Home,25,7,Deadline
LifeCare Facilities,20,0,Deadline
LifeCare Innovations,25,7,Price
Lifecraft,25,7.5,Quality
LifeCycle Industries,20,7,Quality
LifeEquip Dynamics,25,7,Price
LifeEquip Innovations,35,0,Price
LifeEquip Solutions,25,7,Deadline
LifeEquip Technologies,40,7,Quality
LifeGuard Equipments,25,7,Price
Lifeguard Medical,20,8,Quality
LifeGuardian Equip,25,0,Deadline
LifeLab,25,0,Price
LifeLine Industries,20,0,Price
LifePro Equipments,25,7,Deadline
LifePulse,20,7.5,Price
LifeShield Dynamics,35,7.5,Price
LifeTech,25,7.5,Price
LifeWise Equipments,25,7,Quality
LifeWise Solutions,25,7.5,Deadline
Lighthouse Materials,20,0,Price
LightLine,30,7,Deadline
LightWave,30,0,Deadline
Liliputingi Supplies,25,7,Quality
LimeLeaf,35,7.5,Quality
LinkCom,35,8,Quality
LinkCore,25,8,Price
LogicForge,30,7.5,Price
LogicLeap,20,8,Quality
LogiData,20,8,Quality
Longevity,30,8,Quality
Lubritech,30,8,Quality
Lucky Ace Gaming,20,7,Quality
LujoMáximo,50,0,Deadline
Lumina Machineries,35,0,Price
Lumina Tech,25,7,Price
Luminary Works,20,8,Deadline
Luminova,25,7,Quality
Luxe Linens,20,8,Quality
LuxeBuild,25,7,Quality
LuxeThread,30,8,Price
LuxeWear,25,7,Deadline
LuxStay Hotels,45,7,Price
MachinaMotive,25,7,Quality
MachinaPro,25,7,Deadline
Machinatek,25,0,Price
Machine Mart,30,0,Deadline
MachinEco,20,7,Price
MachinEdge,30,7.5,Price
MachineHorizon,25,7,Quality
MachineMasters,25,7,Price
MachineMind,25,7,Deadline
MachineMind Innovations,25,8,Deadline
Machinetronix,25,8,Quality
MachineWorks,30,0,Price
Machinex,25,0,Deadline
Machinify,25,7.5,Deadline
Machinix Corporation,25,8,Quality
Machinix Solutions,20,7,Deadline
MachinMind,25,0,Price
MachinoTech,25,8,Price
MachTech,25,8,Quality
MagicMirror,20,8,Deadline
Magma Manufacturing,25,7,Deadline
Magnacore Industrial,20,0,Deadline
MagnaFlow,25,7,Price
Magnaquip,20,8,Quality
MagnaTech,25,7.5,Quality
Mainspring Industries,25,7.5,Deadline
Majestic,25,7,Deadline
Maker's Hub,20,8,Price
Manufactron,20,7.5,Price
ManufacTrust,40,0,Price
Manufactura360,30,7,Quality
ManufacturaDirecta,25,7,Deadline
ManufacturaPlus,20,0,Deadline
ManuPro,25,8,Deadline
ManuSoft,30,7.5,Price
ManuStream,25,7,Price
MaquiCorp,20,8,Price
MáquinaMax,25,8,Quality
MaquinaSoft,30,7,Deadline
Marcus Bank,30,8,Deadline
Marina Industries & Resorts,20,0,Price
Maritime Dynamics Inc.,20,0,Price
Market Movers,35,7,Deadline
Marvelous Machines Inc.,20,7.5,Quality
MarvelParks,20,7,Price
Mat360,20,0,Deadline
MatDirecta,25,7.5,Price
MaterialesPlus,20,0,Price
MaterialExchange,20,8,Price
MaterTech,30,0,Deadline
MatInnova,25,0,Price
MatLab,35,0,Deadline
MatLab360,30,8,Quality
MatLabNet,40,7,Quality
MatPro,20,7,Quality
Matrix Dynamics,25,7.5,Deadline
Matrix Motors,20,7.5,Price
Maverick Industrial,25,7,Quality
MaxiBuild,20,0,Price
Maximus Machines,25,7,Price
MaxPower Industries,30,7.5,Deadline
MeatWorks,25,7.5,Price
Mecanix Corp.,25,0,Price
Mechadynamics,25,7.5,Deadline
Mechanicore,25,7,Quality
Mechanic's Choice,20,7,Deadline
Mechanixus,25,7,Price
MechanoWorks,40,8,Quality
Mechaworks,25,7.5,Price
MechGen,20,0,Price
MechMind,20,0,Price
Mechpro,25,8,Deadline
MechSignal,40,0,Deadline
MedAssist,25,7,Deadline
MedClean,25,0,Deadline
MedClean Innovations,65,7,Quality
MedCoke Supplies,25,0,Price
MedCorp,30,0,Deadline
MedCrest,20,0,Price
MedEdge,30,8,Quality
MedEquip,45,7.5,Quality
MedEquip Innovations,25,7,Quality
MedEquip Solutions,25,0,Deadline
MedHero,25,0,Deadline
MediaStream Enterprises,25,7,Deadline
MedicalX,20,7,Price
MedicaSoft,25,7,Deadline
Medico,25,7,Deadline
MediFlow,30,8,Quality
MediGuard,20,7.5,Quality
MediLab,25,7.5,Price
Medilink,20,7.5,Quality
Medilink Equipments,55,7.5,Quality
Medimatrix,25,7,Deadline
Medimotive,25,0,Deadline
Medinet,50,0,Deadline
MediPlus,30,7,Quality
MediSense,20,7.5,Deadline
MediServe Industries,25,7,Deadline
Medisphere,20,8,Quality
MediStream,25,0,Deadline
MediSynth,30,7.5,Price
Meditech Devices Inc.,20,7,Price
Meditech Industries,25,0,Price
Meditech Innovations,25,8,Deadline
Meditech Innovations Corp.,20,7.5,Quality
Meditek,25,8,Quality
Meditron,25,7.5,Quality
Meditronix,30,0,Price
Mediworks,25,0,Deadline
MedLab,35,7.5,Price
MedLife Technologies,20,7,Deadline
MedLink,25,7,Price
MedNexus,20,0,Deadline
MedNova Instruments,25,7,Quality
MedPrime,40,0,Price
MedPro,25,7,Deadline
MedPro Equipments,20,8,Deadline
MedServe,20,7,Quality
MedSolutions,25,7.5,Quality
MedSpan,25,7,Quality
MedSpot,40,8,Quality
MedSupplies,20,8,Deadline
MedTech,25,7.5,Deadline
MedTech Dynamics,25,0,Price
MedTechWorks,40,8,Price
Med-Tek,20,7,Deadline
MedWise Innovations,25,8,Quality
MegaForge,25,7,Price
MegaMovers,40,8,Price
Megaplex Manufacturing,25,7,Quality
Mercury Rail,25,7,Deadline
Meridian Industrial,25,7,Quality
Meridian Machinery Group,30,0,Price
Metaland,25,7.5,Price
MetalBourse,25,7.5,Deadline
Metalcon,20,7.5,Deadline
MetalCraft Co.,25,7,Deadline
MetalForge,35,7,Quality
Metalite,30,0,Price
MetalMasters,25,8,Deadline
MetalMesh,20,8,Quality
MetalMind,20,7,Price
MetalMinds,30,7,Price
Metaltex,35,8,Quality
MetalWorks,25,7,Quality
MetaPro,25,0,Deadline
Metaverso,20,7,Quality
Metrix Industries,20,7.5,Price
Metro Machinery,20,7,Quality
Metro Real Estate Developments,25,0,Deadline
MetroWorks,25,0,Deadline
Mid-Century Modern,20,0,Deadline
MightyMover,25,8,Deadline
Mill & Meal Foods Ltd.,25,0,Deadline
Minas Morgul Council of the Nazgul,40,7.5,Deadline
MindLink Consulting,25,7,Price
MindMeld,25,7,Deadline
MindMeld Media,25,7.5,Quality
MindSpark Media,25,7,Deadline
MinePro Services,20,0,Price
Ministry of Magic,20,0,Price
Mirax Industries,20,8,Deadline
MobileMaven,25,7,Quality
MobiMotion,30,0,Price
ModaTek,35,7,Quality
Modern Millworks,20,7,Quality
Modern Press Inc.,25,7,Quality
ModernPack,35,7.5,Price
ModuPro,25,7.5,Deadline
Momentum Industrial Corp,20,8,Deadline
Momentum Industrial Solutions,25,7,Price
Moneylosing,25,7,Price
MonyebeGreen,25,8,Quality
Moria Real Estate LLC,25,7,Quality
MotionLabs,30,7.5,Price
MotoMech Solutions,25,7,Deadline
Motora Industrial,25,7,Deadline
MotorForge,25,7,Quality
MotorMarvel,25,7,Deadline
MotorMight,30,7,Price
Motorstorm Inc,25,7.5,Price
Mountainview Real Estate Investments,20,0,Deadline
MovingMates,40,8,Price
MundoVoice,30,0,Deadline
MyriadMedia,20,7,Price
NanoAdhesive Co.,20,7.5,Price
NanoLogic Systems,20,7.5,Quality
NanoMed,20,8,Deadline
NanoScale Scientific,20,7,Deadline
NanoStream Industrial Solutions,25,0,Price
NanoWorks,25,7,Quality
NanoWorks Research Corp,25,7,Price
Nantucket Nook,25,7,Price
NationalAusteryZiliInc,20,7,Price
Nature's Choice,25,7,Price
Nebula Aerospace,25,7,Quality
NeoStream,20,7,Price
NetBridge,25,7.5,Deadline
NetComm,20,0,Deadline
NetCrafts,25,7,Deadline
NetForge Infrastructure,25,0,Price
NetGuard,25,0,Price
NetOpsWorks,20,8,Deadline
NetSavvy,25,7.5,Deadline
NetVision Media,25,7.5,Quality
Netvox,20,8,Price
NetWave,20,0,Price
Netwise Networks,25,8,Deadline
NetworkWave Inc.,25,8,Price
NetWorx,30,7,Price
NeuroDevice,20,7,Quality
Neuron Industrial Solutions,25,7.5,Deadline
NeuroSense,25,7.5,Price
NeuroTech Therapeutics,20,7,Quality
New Caprica City Council,45,0,Price
New Horizons,40,0,Price
NewEdge,20,7.5,Quality
NewGen Industrials,20,0,Deadline
NewWave Construction,25,0,Price
Nexa Consulting,20,8,Quality
Nexa Dynamics,20,7,Deadline
Nexa Materials,20,8,Quality
Nexacore Chemicals,20,7.5,Price
NexaCorp,25,0,Price
NexaPharm,25,7,Quality
NexaTech,25,0,Price
NexCom,25,7,Deadline
NexGen Innovations,25,7.5,Quality
NexGeniusx,20,0,Deadline
NexGenix,25,7,Price
Nexia,30,0,Price
NexiCore,30,7.5,Price
NexiGen,25,7,Quality
Nexindus,30,8,Price
Nexion Industrial,25,7,Quality
NexisOne,25,7,Deadline
NexiSphere,25,7,Deadline
NexisTech,25,7,Deadline
NexoCom,30,0,Deadline
Nexon Auto Parts,25,7.5,Deadline
NexSonic,30,0,Deadline
NexTech,35,0,Deadline
NexTech Gaming Solutions,25,7,Deadline
NexTechx,55,7,Deadline
NextGen,20,7,Quality
NextGen Advertising,25,7,Quality
NextGen Construction,20,0,Price
NextGen Engineering,20,7.5,Price
NextGen Industrial Automation,35,0,Deadline
NextGen Industries,20,7,Price
NextGen Innovations,40,0,Price
NextGen Mechanics,40,7.5,Price
NextGen Media Group,25,0,Deadline
NextGen Systems,35,7.5,Price
NextGenIndustries,25,0,Price
NextGenius,20,7,Price
NextGenSoft,20,7,Deadline
NextHorizon,25,7,Deadline
NextLevel Industrials,25,7,Quality
NextPhase,20,7.5,Price
NextPhase Engineering,20,0,Price
Nextronics,25,0,Price
NextSoft,30,7.5,Price
NextStream,25,7,Price
NextWave,25,7,Quality
Nexus Corporation,40,7.5,Price
Nexus Group,25,7.5,Deadline
Nexus Industrial,20,8,Deadline
Nexus Industrial Innovations,25,0,Price
Nexus Industrial Works,25,0,Deadline
Nexus Medical Innovations,25,7,Price
Nexus Robotics,30,7,Price
Nexus Semiconductors,25,7,Price
Nexus Software,25,7,Quality
NexusLab,20,7,Price
NexusMind,20,0,Deadline
NexusTech,20,7,Deadline
NexusWorks,35,7,Price
NexusWorks Advertising,20,8,Price
Nimbus Navigation,25,7,Deadline
Noble Oil & Gas,20,7.5,Price
Noble Spirits,25,0,Price
North Star Industrial Development,25,7,Quality
Northern Paper Products,65,7,Quality
NorthStar Manufacturing,20,0,Deadline
Northwind Industries,25,7.5,Quality
Nouveau Nesting,40,7,Quality
Nova Autotech,35,0,Price
Nova Industrial,25,7,Price
Nova Navigations,25,7,Quality
